pause: 1
move: [-1.962157, -1.118865]
move: [-0.604086, 0.305151]
move: [-2.835359, 0.331326]
move: [-1.414902, -1.624192]
move: [-1.613866, -2.172980]
move: [2.867749, 2.737341]
move: [2.002542, 1.434211]
move: [-2.036935, -0.877315]
move: [-1.955390, -3.134063]
move: [-1.153470, 1.254231]
move: [0.787002, 0.270568]
move: [-0.383041, -1.335634]
move: [0.010424, 1.643343]
move: [1.648758, 0.477873]
move: [1.556112, 0.914420]
move: [-2.367382, 0.027633]
move: [-0.959685, -2.562612]
move: [-2.212627, -1.896456]
move: [1.082406, -0.430328]
move: [1.221476, -1.528168]
pause: 1
